Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PrimaryTemp,BPOM
RED ALE,Irish Red Ale,92,20.82,1.051,1.015,4.81,28.54,5.64,28.39,60,1.038,75.0,2.0,Specific Gravity,All Grain,2.0,2
English Dark Mild,Dark Mild,53,20.82,1.033,1.008,3.22,23.45,15.89,28.39,60,1.024,75.0,1.5,Specific Gravity,All Grain,1.5,2
CFG - Wheat,American Wheat Beer,14,20.82,1.063,1.015,6.3,27.99,4.6,11.36,60,1.074,75.0,1.9064315245478038,Specific Gravity,Partial Mash,1.9064315245478038,2
Pacto Redux (Citra e.),American Pale Ale,10,30.0,1.047,1.008,5.05,40.57,9.08,30.0,60,1.047,70.0,3.0,Specific Gravity,All Grain,3.0,2
Pilsner,German Pilsner (Pils),81,20.0,1.045,1.0090000000000001,4.82,33.75,4.35,26.0,80,1.035,65.0,4.0,Specific Gravity,All Grain,4.0,2
Sour Melk,Berliner Weisse,27,24.61,1.042,1.01,4.18,33.28,3.31,28.39,60,1.024,75.0,1.33,Specific Gravity,All Grain,1.33,2
Apple Ale,American Light Lager,9,208.2,1.046,1.0090000000000001,4.9,10.33,6.77,215.77,15,1.0390000000000001,35.0,2.1850179985601157,Specific Gravity,extract,2.1850179985601157,2
Turtle Ale,American Amber Ale,4,18.93,1.064,1.015,6.43,50.21,17.04,9.46,60,1.128,35.0,2.1336110307414087,Specific Gravity,extract,2.1336110307414087,2
Saison de Wadmalaw,Saison,134,20.82,1.061,1.018,5.61,20.8,3.37,26.5,60,1.048,35.0,2.037900446144041,Specific Gravity,extract,2.037900446144041,2
Otter ESB,Best Bitter,28,3.41,1.065,1.016,6.37,38.75,11.2,9.84,60,1.022,70.0,2.5572614107883824,Specific Gravity,BIAB,2.5572614107883824,2
Gingered ALe,Spice  Herb  or Vegetable Beer,155,20.82,1.043,1.011,4.22,48.75,17.33,28.39,60,1.031,70.0,1.5,Specific Gravity,All Grain,1.5,2
Heady Nugs,Imperial IPA,86,18.93,1.095,1.024,9.39,106.71,8.08,11.36,60,1.159,70.0,1.808331280788176,Specific Gravity,Partial Mash,1.808331280788176,3
Celia,Old Ale,116,20.82,1.069,1.0190000000000001,6.52,7.32,4.95,28.39,60,1.051,80.0,1.5,Specific Gravity,All Grain,1.5,2
Harkrank,Specialty IPA: Black IPA,148,15.0,1.068,1.016,6.86,86.51,37.47,20.0,60,1.051,70.0,2.212826315789474,Specific Gravity,BIAB,2.212826315789474,5
Saison Test #3,Saison,134,40.0,12.4568,2.10692,5.52,24.91,5.65,44.0,60,11.4,75.0,2.0,Plato,All Grain,2.0,2
Mosaic Pale Ale,American Pale Ale,10,10.0,1.0490000000000002,1.0090000000000001,5.16,36.61,7.0,7.0,60,1.069,35.0,2.2804632561436686,Specific Gravity,extract,2.2804632561436686,2
Harold-is-weizen,Weissbier,169,23.0,1.05,1.012,4.89,12.58,3.07,26.0,90,1.044,70.0,3.0,Specific Gravity,All Grain,3.0,2
Brother's keeper,Saison,134,8.0,1.055,1.01,5.88,31.75,4.27,9.0,60,1.0490000000000002,70.0,2.037900446144041,Specific Gravity,BIAB,2.037900446144041,2
ZeroFiveOhTwoIpa,Munich Helles,109,21.0,1.05,1.0090000000000001,5.43,59.5,3.84,28.5,60,1.037,69.0,2.0239450000000003,Specific Gravity,BIAB,2.0239450000000003,2
Blaby Hitter,American IPA,7,23.0,1.06,1.01,6.54,66.45,7.27,28.5,60,1.0490000000000002,85.0,2.5,Specific Gravity,All Grain,2.5,2
Oat-Meal Cherry Stout,Oatmeal Stout,114,62.0,1.046,1.008,5.01,23.15,31.03,75.0,60,1.038,80.0,3.0,Specific Gravity,All Grain,3.0,5
